OverallQual,GarageCars,KitchenAbvGr,GrLivArea,FullBath,2ndFlrSF,TotalBsmtSF,1stFlrSF,Fireplaces,OpenPorchSF,SalePrice
8,3,1,1717,2,0,1709,1717,1,39,255500
4,2,1,1126,2,0,0,1126,0,96,108000
7,3,1,2046,2,1040,998,1006,1,62,284000
5,1,1,1048,1,0,993,1048,1,0,113000
5,1,1,1092,1,0,1092,1092,1,0,141000
4,1,1,1336,1,439,637,897,0,47,108000
7,2,1,1446,2,717,729,729,1,22,175000
7,2,1,1557,2,0,1374,1557,1,20,234000
5,2,1,1392,1,0,1392,1392,1,0,121500
5,2,1,1389,1,0,1389,1389,1,38,170000
5,0,1,996,1,0,996,996,1,0,108000
6,2,1,1674,2,511,1163,1163,1,36,185000
7,2,1,2295,2,1129,1095,1166,1,40,268000
6,1,1,1647,1,806,806,841,0,66,128000
9,3,1,2504,2,1370,1122,1134,1,39,325000
7,2,1,1535,2,0,1517,1535,0,0,214000
8,2,1,2132,1,636,1496,1496,1,40,316600
5,2,1,943,1,0,943,943,2,0,135960
5,2,2,1728,2,0,1728,1728,0,0,142600
6,1,1,864,1,0,864,864,0,0,120000
7,2,1,1692,2,846,846,846,0,114,224500
7,2,1,1430,2,656,384,774,1,0,170000
5,1,1,1109,1,533,372,576,0,0,139000
5,1,1,1216,1,384,832,832,0,0,118500
7,1,1,1477,2,600,861,877,1,50,145000
5,2,1,1320,1,0,1164,1320,2,68,164500
7,2,1,1392,2,689,689,703,0,102,146000
5,1,1,1795,2,745,1050,1050,0,0,131500
6,2,1,1429,1,0,1144,1429,2,110,181900
8,3,1,2042,2,0,2042,2042,1,90,253293
6,0,1,816,1,0,816,816,0,32,118500
10,2,1,2775,3,1254,1237,1521,1,502,325000
4,1,1,1573,1,584,884,989,0,0,133000
8,3,1,2028,2,0,1868,2028,2,66,369900
6,1,1,838,1,0,816,838,0,0,130000
5,2,1,860,1,0,840,860,0,0,137000
5,1,1,1473,1,0,1437,1473,2,48,143000
5,1,1,935,1,0,742,779,0,0,79500
7,2,1,1582,2,812,770,770,0,45,185900
10,3,1,2296,2,568,1722,1728,1,274,451950
5,2,1,816,1,0,816,816,0,0,138000
6,2,1,848,1,0,848,848,0,0,140000
5,1,1,924,1,0,924,924,0,0,110000
8,3,1,1826,2,0,1814,1826,1,75,319000
6,1,1,1368,1,684,684,684,0,158,114504
7,3,1,1402,0,0,1258,1402,1,16,194201
5,2,1,1647,2,0,1430,1647,1,0,217500
6,2,1,1556,2,840,716,716,1,0,151000
8,2,1,1904,2,846,1058,1058,1,60,275000
6,1,1,1375,1,595,780,780,1,162,141000
8,2,1,1915,2,988,908,927,1,150,220000
7,2,1,1200,2,600,600,600,0,172,151000
7,2,1,1494,2,0,1494,1494,1,36,221000
7,2,1,1986,2,800,768,1186,3,42,205000
5,2,1,1040,1,0,1040,1040,0,0,152000
5,1,1,2008,3,896,896,1112,0,0,225000
8,2,1,3194,2,1254,965,1940,2,0,359100
4,1,1,1029,1,0,1029,1029,0,0,118500
9,3,1,2153,2,677,1440,1476,2,142,313000
6,2,1,1032,2,0,1032,1032,1,0,148000
8,2,1,1872,2,573,1299,1299,1,122,261500
5,0,1,1120,1,0,1120,1120,0,30,147000
4,0,1,630,1,0,630,630,0,24,75500
6,2,1,1054,1,0,936,1054,0,0,137500
6,2,1,1509,2,702,783,807,1,75,183200
6,2,1,832,1,0,832,832,0,0,105500
9,3,1,1828,2,0,1822,1828,1,108,314813
8,3,1,2262,2,780,1482,1482,2,0,305000
3,0,1,864,1,0,864,864,0,0,67000
6,2,1,2614,2,1066,1522,1548,1,243,240000
5,2,1,980,1,0,980,980,0,0,135000
6,2,1,1512,2,756,756,756,1,32,168500
6,2,1,1790,1,778,732,1012,1,0,165150
6,2,1,1116,1,0,1116,1116,0,0,160000
5,1,1,1422,1,0,978,1422,1,0,139900
6,1,1,1520,1,0,1156,1520,2,0,153000
5,2,1,2080,1,1040,1040,1040,2,0,135000
6,2,1,1350,1,0,1248,1350,0,0,168500
5,1,1,1750,1,661,636,1089,0,0,124000
8,2,1,1554,2,0,1554,1554,1,73,209500
7,2,1,1411,2,0,1386,1411,1,0,82500
5,1,1,1056,1,0,1056,1056,0,0,139400
6,2,2,1056,0,0,1056,1056,0,56,144000
6,0,2,3395,2,1440,1440,1440,0,110,200000
2,0,1,800,1,0,264,800,1,0,60000
5,1,2,1387,2,576,811,811,0,0,93000
5,0,1,796,1,0,796,796,0,0,85000
8,3,1,1567,2,0,1520,1567,1,0,264561
8,2,1,1518,1,0,1518,1518,1,140,274000
7,2,1,1929,2,872,1057,1057,1,235,226000
8,2,1,2704,2,704,1952,2000,3,111,345000
5,2,1,1620,2,840,780,780,0,0,152000
9,3,1,1766,2,0,1766,1766,1,130,370878
6,2,1,981,1,0,981,981,0,312,143250
5,2,1,1048,1,0,0,1048,0,27,98300
6,2,1,1094,1,0,1094,1094,2,0,155000
6,2,1,1839,1,788,756,1051,1,124,155000
4,0,1,630,1,0,630,630,0,0,84500
7,2,1,1665,2,843,813,822,0,0,205950
4,1,1,1510,1,755,755,755,1,0,108000
7,2,1,1716,2,807,880,909,1,120,191000
6,1,1,1469,1,713,756,756,0,0,135000
8,3,1,2113,2,0,2109,2113,1,46,350000
6,1,1,1092,1,567,525,525,0,0,88000
5,1,1,1053,1,0,1053,1053,0,0,145500
7,1,1,1502,1,651,776,851,1,0,149000
6,1,1,1458,1,546,912,912,1,0,97500
5,2,1,1486,1,0,1486,1486,0,0,167000
7,2,1,1935,2,793,793,1142,1,113,197900
8,3,1,2448,2,762,1629,1686,1,76,402000
6,2,1,1392,1,0,1392,1392,2,0,110000
4,2,1,1181,2,0,1138,1181,0,0,137500
8,3,1,2097,1,0,2077,2097,1,267,423000
8,2,1,1936,2,482,1406,1454,1,124,230500
6,2,1,2380,2,915,1021,1465,1,265,129000
6,2,1,1679,2,0,1408,1679,1,42,193500
5,2,1,1437,1,0,1188,1437,1,0,168000
4,1,1,1180,1,0,700,1180,1,0,137500
6,2,1,1476,2,738,738,738,0,35,173500
6,1,1,1369,2,672,672,697,0,0,103600
6,2,1,1208,1,0,1208,1208,1,42,165000
6,2,1,1839,2,0,1477,1839,2,87,257500
6,1,1,1136,1,0,1136,1136,1,0,140000
6,2,1,1441,2,586,855,855,1,0,148500
4,3,2,1774,2,679,1095,1095,0,0,87000
5,1,1,792,1,0,768,792,0,0,109500
8,3,1,2046,2,0,2046,2046,1,82,372500
5,2,1,988,1,0,988,988,0,0,128500
6,1,1,923,2,0,923,923,1,0,143000
5,1,1,1520,1,672,793,848,0,0,159434
6,2,1,1291,1,0,1291,1291,1,0,173000
9,3,1,1668,2,0,1626,1668,1,45,285000
7,2,1,1839,2,644,1195,1195,0,81,221000
7,2,1,2090,2,900,1190,1190,1,0,207500
7,2,1,1761,3,887,874,874,0,105,227875
7,2,1,1102,2,551,551,551,0,60,148800
8,2,1,1419,2,0,1419,1419,1,0,392000
6,2,1,1362,2,0,1362,1362,1,28,194700
6,2,1,848,1,0,848,848,1,0,141000
10,3,1,4316,3,1872,2444,2444,2,50,755000
7,2,1,2519,2,1281,1210,1238,2,27,335000
5,1,1,1073,1,0,1073,1073,0,0,108480
5,2,1,1539,1,472,927,1067,0,0,141500
6,2,1,1137,2,0,1112,1137,1,0,176000
5,1,1,616,1,0,616,616,0,0,89000
5,1,1,1148,1,0,980,1148,0,0,123500
5,1,1,894,1,0,894,894,1,144,138500
7,2,1,1391,2,0,1391,1391,0,158,196000
8,3,1,1800,2,0,1800,1800,1,78,312500
7,2,1,1164,1,0,1164,1164,0,0,140000
8,3,1,2576,2,1312,1234,1264,1,100,361919
5,2,2,1812,2,780,360,1032,1,0,140000
7,2,1,1484,2,0,1473,1484,0,35,213000
4,0,2,1092,2,720,0,372,0,0,55000
7,2,1,1824,2,0,1643,1824,2,48,302000
8,2,1,1324,2,0,1324,1324,1,38,254000
7,2,1,1456,2,728,728,728,1,24,179540
5,1,1,904,1,0,876,904,0,0,109900
3,0,1,729,1,0,270,729,0,0,52000
4,1,1,1178,1,319,859,859,0,0,102776
8,2,1,1228,2,0,1228,1228,1,120,189000
4,2,1,960,1,0,960,960,0,288,129000
6,2,1,1479,2,754,725,725,0,44,130500
6,2,1,1350,2,0,1064,1350,1,0,165000
7,2,1,2554,1,978,718,1576,0,48,159500
5,2,1,1178,1,0,1176,1178,1,0,157000
7,3,1,2418,2,1093,1311,1325,1,154,341000
5,1,1,971,1,0,971,971,1,0,128500
8,2,1,1742,2,0,1742,1742,1,28,275000
6,2,1,848,1,0,848,848,0,0,143000
4,2,1,864,1,0,864,864,0,0,124500
4,1,1,1470,2,473,941,997,0,0,135000
9,3,1,1698,2,0,1698,1698,1,64,320000
4,2,1,864,1,0,864,864,0,0,120500
6,2,1,1680,2,0,880,1680,1,44,222000
7,2,1,1232,2,0,1232,1232,0,0,194500
5,3,2,1776,2,0,1584,1776,0,25,110000
4,2,1,1208,1,0,780,848,0,23,103000
8,2,1,1616,2,0,1595,1616,1,152,236500
7,2,1,1146,2,0,868,1146,1,22,187500
7,2,1,2031,2,878,1153,1153,1,84,222500
5,1,1,1144,1,0,864,1144,1,0,131400
5,1,1,948,1,0,948,948,0,0,108000
7,2,1,1768,1,888,880,880,2,341,163000
3,2,2,1040,2,0,0,1040,0,0,93500
8,3,1,1801,2,900,893,901,1,116,239900
5,0,1,1200,3,0,1200,1200,0,0,179000
7,2,1,1728,2,864,864,864,0,56,190000
5,2,1,1432,2,664,264,768,0,0,132000
6,1,1,912,1,0,912,912,0,0,142000
7,2,1,1349,2,0,1349,1349,0,55,179000
5,2,1,1464,2,0,520,1464,1,0,175000
8,2,1,1337,2,0,1337,1337,1,0,180000
8,2,1,2715,3,1540,1142,1175,2,204,299800
7,2,1,2256,2,1276,952,980,1,54,236000
7,4,1,2640,1,1320,1240,1320,1,0,265979
7,2,1,1720,2,0,1720,1720,1,56,260400
4,1,1,1529,2,441,0,1088,0,0,98000
4,0,1,1140,1,348,576,792,0,160,96500
7,2,1,1320,2,660,660,660,0,48,162000
6,2,1,1494,2,0,1479,1494,0,27,217000
8,3,1,2098,2,1060,1030,1038,1,52,275500
6,2,1,1026,1,0,1026,1026,0,48,156000
6,2,1,1471,2,729,729,742,0,24,172500
8,2,1,1768,2,902,866,866,0,105,212000
6,2,1,1386,2,714,672,672,1,0,158900
7,2,1,1501,2,744,744,757,0,0,179400
8,3,1,2531,2,1203,1318,1328,1,98,290000
6,1,1,864,1,0,864,864,0,0,127500
5,2,1,1301,1,0,1145,1301,0,0,100000
7,2,1,1547,2,783,756,764,0,45,215200
8,3,1,2365,2,1097,1252,1268,1,128,337000
8,2,1,1494,1,0,1494,1494,1,30,270000
9,2,1,1506,2,0,1498,1506,1,174,264132
7,2,1,1714,2,734,980,980,1,66,196500
6,1,1,1750,2,767,983,983,0,0,160000
7,2,1,1836,2,0,1860,1836,1,33,216837
8,3,1,3279,3,1589,1650,1690,1,36,538000
5,2,1,858,1,0,858,858,0,0,134900
4,2,1,1220,1,0,836,1220,0,0,102000
6,2,1,1117,1,0,1029,1117,1,0,107000
5,1,1,912,1,0,912,912,0,0,114500
8,3,1,1973,2,0,1935,1973,1,45,395000
6,2,1,1204,2,0,1204,1204,0,247,162000
7,3,1,1614,2,0,1614,1614,0,59,221500
5,2,1,894,1,0,864,894,1,0,142500
5,2,2,2020,2,0,0,2020,2,0,144000
6,2,1,1004,1,0,975,1004,0,0,135000
7,2,1,1253,2,0,1237,1253,1,21,176000
6,2,1,1603,2,793,761,810,0,124,175900
7,2,1,1430,2,0,1413,1430,0,33,187100
5,2,1,1110,1,0,1097,1110,1,30,165500
6,0,1,1484,2,742,742,742,1,291,128000
6,2,1,1342,2,0,1372,1342,1,0,161500
5,1,1,1652,2,686,686,966,0,0,139000
7,2,1,2084,2,1128,956,956,0,45,233000
4,1,1,901,1,0,901,901,0,0,107900
6,2,1,2087,2,1111,832,976,0,168,187500
7,2,1,1145,2,0,1145,1145,1,16,160200
6,2,1,1062,1,0,1029,1062,2,0,146800
7,2,1,2013,2,886,1117,1127,1,130,269790
8,2,1,1496,2,0,1496,1496,0,130,225000
7,2,1,1895,2,809,712,1086,1,46,194500
6,2,1,1564,2,676,650,888,1,50,171000
6,2,1,1285,1,0,660,1285,1,0,143500
5,1,1,773,1,0,773,773,0,0,110000
9,3,1,3140,3,1174,1926,1966,2,78,485000
5,1,1,1768,1,787,731,981,2,0,175000
6,2,1,1688,2,1072,616,616,0,114,200000
4,2,1,1196,1,0,1196,1196,0,0,109900
7,2,1,1456,2,728,728,728,1,18,189000
9,3,1,2822,3,1088,1734,1734,1,170,582933
5,1,1,1128,1,0,936,1128,0,0,118000
7,2,1,1428,2,0,1417,1428,0,60,227680
5,1,1,980,2,0,980,980,0,0,135500
5,2,1,1576,1,504,1324,1072,1,312,223500
5,2,1,1086,1,0,1024,1086,1,0,159950
5,2,3,2138,2,1063,849,1075,0,156,106000
6,2,1,1309,1,0,1040,1309,1,0,181000
6,2,1,848,1,0,848,848,1,0,144500
5,2,1,1044,1,0,540,1044,0,0,55993
6,1,1,1442,1,0,1442,1442,0,0,157900
5,1,1,1250,1,564,686,686,0,0,116000
7,2,1,1661,2,0,1649,1661,0,34,224900
5,1,1,1008,1,0,1008,1008,1,0,137000
8,3,1,1689,2,0,1568,1689,2,59,271000
6,2,1,1052,1,0,1010,1052,0,0,155000
7,2,1,1358,2,0,1358,1358,1,35,224000
7,2,1,1640,2,842,798,798,0,45,183000
4,2,1,936,1,0,936,936,0,32,93000
7,2,1,1733,2,886,847,847,1,48,225000
6,1,1,1489,2,545,778,944,1,0,139500
8,2,1,1489,2,0,1489,1489,1,140,232600
10,3,1,2084,2,0,2078,2084,1,45,385000
5,0,1,784,1,0,784,784,0,0,109500
7,2,1,1434,2,0,1454,1434,1,39,189000
5,2,1,2126,2,966,1013,1160,0,0,185000
7,2,1,1223,2,623,600,520,0,166,147400
6,2,1,1392,1,0,1392,1392,2,0,166000
7,2,1,1200,2,600,600,520,0,166,151000
7,2,1,1829,2,888,941,941,1,39,237000
6,2,1,1516,1,0,1516,1516,0,0,167000
5,2,1,1144,1,0,1144,1144,0,0,139950
4,2,1,1067,2,0,1067,1067,0,0,128000
5,2,1,1559,1,0,1559,1559,0,116,153500
6,1,1,987,1,504,483,483,0,0,100000
5,1,1,1099,1,0,1099,1099,0,0,144000
5,1,1,1200,1,432,768,768,0,0,130500
6,1,1,1482,2,672,672,810,0,0,140000
5,2,1,1539,2,581,650,958,1,78,157500
6,2,1,1165,1,0,1127,1165,0,129,174900
5,0,2,1800,2,0,1800,1800,0,0,141000
5,3,1,1416,1,540,876,876,1,0,153900
5,2,1,1701,2,0,1390,1701,2,0,171000
7,2,1,1775,2,769,740,1006,1,72,213000
5,1,1,864,1,0,864,864,1,0,133500
6,2,1,2358,3,1051,907,1307,1,40,240000
6,2,1,1855,2,761,528,1094,1,100,187000
6,2,1,848,1,0,848,848,0,0,131500
8,2,1,1456,2,0,1273,1456,1,20,215000
7,1,1,1646,2,728,918,918,2,0,164000
6,2,1,1445,1,0,1127,1445,1,0,158000
5,2,1,1779,1,0,1763,1779,1,418,170000
5,1,1,1040,1,0,1040,1040,0,104,127000
6,2,1,1026,1,0,940,1026,0,0,147000
6,2,1,1481,2,779,702,702,1,36,174000
7,2,1,1370,2,0,1090,1370,1,0,152000
6,2,1,2654,2,1142,1054,1512,1,65,250000
7,1,1,1426,1,514,912,912,1,240,189950
5,2,1,1039,1,0,1039,1039,0,0,131500
6,2,1,1097,2,0,1040,1097,0,0,152000
5,1,1,1148,1,0,1148,1148,0,0,132500
7,2,1,1372,2,0,1372,1372,0,140,250580
5,2,1,1002,1,0,1002,1002,0,0,148500
8,3,1,1646,2,0,1638,1646,1,80,248900
4,2,1,1120,1,0,1040,1120,0,0,129000
5,2,1,2320,2,720,0,1547,1,144,169000
7,2,1,1949,2,887,1050,1062,1,90,236000
5,1,1,894,1,0,894,894,0,0,109500
6,2,1,1682,2,878,804,804,0,77,200500
5,2,1,910,1,0,105,910,0,0,116000
5,1,1,1268,1,0,832,1036,1,28,133000
5,1,1,1131,1,455,676,676,0,0,66500
8,2,1,2610,2,1426,1184,1184,1,364,303477
4,2,1,1040,1,0,1064,1040,0,0,132250
9,3,1,2224,2,762,1462,1462,1,0,350000
5,2,1,1155,1,0,1109,1155,0,0,148000
5,1,1,864,1,0,864,864,0,0,136500
5,2,1,1090,1,0,1090,1090,0,49,157000
7,2,1,1717,2,530,1156,1187,1,36,187500
6,2,1,1593,2,785,808,808,1,40,178000
4,1,1,2230,1,795,795,954,0,188,118500
5,1,1,892,1,0,892,892,0,0,100000
9,2,1,1709,2,0,1698,1709,1,65,328900
5,2,2,1712,2,0,1626,1712,0,54,145000
5,1,1,1393,1,521,816,872,0,0,135500
8,2,1,2217,2,0,2217,2217,1,207,268000
6,2,1,1505,1,0,1505,1505,1,0,149500
5,2,1,924,1,252,672,672,1,0,122900
6,2,1,1683,2,765,918,918,1,0,172500
6,1,1,1068,1,0,1059,1068,0,0,154500
5,1,1,1383,1,0,1383,1383,1,116,165000
5,2,2,1535,2,0,0,1535,0,0,118858
6,2,1,1796,1,813,780,983,1,50,140000
4,1,1,951,1,0,951,951,0,28,106500
5,2,2,2240,2,1120,0,1120,0,0,142953
9,3,1,2364,2,0,2330,2364,2,67,611657
5,1,1,1236,1,0,912,1236,1,0,135000
4,1,1,858,1,0,858,858,0,0,110000
5,1,1,1306,1,0,992,1306,0,0,153000
7,2,1,1509,2,702,783,807,1,75,180000
7,3,1,1670,2,0,1670,1670,1,60,240000
5,1,1,902,1,0,876,902,0,0,125500
5,1,1,1063,1,0,1056,1063,0,0,128000
8,3,1,1636,2,0,1623,1636,1,60,255000
7,1,1,2057,1,1037,1017,1020,1,0,250000
5,2,1,902,1,0,864,902,0,0,131000
6,2,1,1484,2,742,742,742,1,24,174000
5,2,2,2274,2,1169,1105,1105,0,0,154300
5,1,1,1268,1,0,1268,1268,0,0,143500
5,1,1,1015,1,0,768,1015,0,0,88000
5,3,2,2002,2,1001,1001,1001,0,0,145000
6,2,1,1224,2,612,612,612,0,234,173733
4,1,1,1092,1,546,546,546,0,0,75000
2,1,1,480,0,0,480,480,0,0,35311
4,1,1,1229,1,0,1134,1229,0,0,135000
7,3,1,2127,2,1215,1104,912,1,192,238000
6,2,1,1414,1,0,1184,1414,1,51,176500
6,2,1,1721,2,785,928,936,0,87,201000
5,0,2,2200,2,928,1272,1272,0,70,145900
6,2,1,1316,2,0,1316,1316,1,0,169990
6,2,1,1617,2,0,1604,1617,1,69,193000
6,2,1,1686,2,0,1686,1686,1,131,207500
5,2,1,1126,2,0,1126,1126,0,0,175000
8,3,1,2374,2,1140,1181,1234,1,100,285000
7,2,1,1978,2,880,832,1098,1,43,176000
8,2,1,1788,2,0,1753,1788,1,151,236500
7,2,1,2236,2,1243,964,993,1,0,222000
8,3,1,1466,2,0,1466,1466,0,18,201000
5,1,1,925,1,0,925,925,0,0,117500
9,3,1,1905,2,0,1905,1905,1,191,320000
7,2,1,1500,2,0,1500,1500,0,36,190000
7,2,1,2069,2,0,585,2069,1,0,242000
4,2,1,747,1,0,600,747,0,0,79900
7,2,1,1200,2,0,1176,1200,0,41,184900
7,2,1,1971,2,858,1113,1113,1,48,253000
7,3,1,1962,2,571,1391,1391,0,90,239799
7,1,1,2403,2,1196,1032,1207,2,0,244400
6,2,2,1728,2,0,1728,1728,0,0,150900
7,2,1,2060,2,1038,992,1022,1,0,214000
4,0,2,1440,2,0,1440,1440,0,0,150000
5,2,2,1632,2,0,1632,1632,0,0,143000
6,2,1,1344,1,0,819,1344,1,118,137500
5,2,1,1869,1,561,1088,1188,0,0,124900
5,1,1,1144,1,0,1144,1144,1,0,143000
8,3,1,1629,2,0,1616,1629,1,252,270000
7,2,1,1776,2,840,936,936,1,96,192500
6,2,1,1381,1,0,1161,1381,1,0,197500
5,2,1,864,1,0,864,864,0,0,129000
5,1,1,965,1,0,828,965,0,0,119900
5,1,1,768,1,0,768,768,0,0,133900
5,2,1,1968,2,800,784,1168,1,189,172000
6,0,0,980,2,0,945,980,0,0,127500
6,2,2,1958,2,979,979,979,0,0,145000
6,2,1,1229,1,668,561,561,1,0,124000
5,2,1,1057,1,0,1057,1057,0,0,132000
7,2,1,1337,2,0,1337,1337,0,39,185000
7,2,1,1416,2,720,696,696,0,44,155000
5,0,1,858,1,0,858,858,0,0,116500
6,2,1,2872,2,1330,1330,1542,1,282,272000
6,2,1,1548,2,744,804,804,1,0,155000
9,2,1,1800,2,0,1800,1800,0,136,239000
7,2,1,1894,2,1070,817,824,1,40,214900
6,2,1,1484,2,701,783,783,1,72,178900
5,1,1,1308,1,332,728,976,2,70,160000
5,1,1,1098,1,0,1098,1098,0,0,135000
3,0,1,968,1,368,600,600,0,0,37900
6,1,1,1095,1,0,588,1095,0,0,140000
4,0,1,1192,1,472,720,720,0,0,135000
7,2,1,1626,2,862,764,764,0,27,173000
6,1,1,918,2,0,918,918,1,0,99500
7,2,1,1428,2,0,1428,1428,0,120,182000
7,2,1,2019,1,883,728,1136,0,135,167500
7,2,1,1382,2,709,673,673,0,50,165000
4,0,1,869,1,0,440,869,0,0,85500
7,2,1,1241,1,0,1241,1241,0,116,199900
4,2,1,894,1,0,894,894,0,0,110000
5,2,1,1121,1,0,1121,1121,0,80,139000
7,2,1,999,1,0,944,999,0,76,178400
8,3,1,2612,2,1336,1225,1276,1,0,336000
7,2,1,1266,2,0,1266,1266,1,16,159895
8,2,1,2290,2,1141,1128,1149,1,0,255900
5,2,2,1734,2,432,0,1302,0,0,126000
5,1,1,1164,1,0,1164,1164,0,48,125000
6,1,1,1635,1,634,485,1001,0,0,117000
9,3,1,1940,2,0,1930,1940,1,95,395192
6,2,1,2030,2,912,848,1118,1,224,195000
7,2,1,1576,2,798,770,778,0,50,197000
8,3,1,2392,2,985,1396,1407,1,70,348000
8,2,1,1742,1,826,916,916,1,169,168000
6,2,1,1851,2,831,822,1020,1,42,187000
6,2,1,1500,2,750,750,750,0,35,173900
10,3,1,1718,2,0,1700,1718,1,48,337500
4,1,1,1230,1,456,747,774,0,57,121600
5,1,1,1050,1,0,1050,1050,0,319,136500
6,2,1,1442,2,0,1442,1442,1,0,185000
3,1,1,1077,1,0,1007,1077,1,100,91000
7,2,1,1208,2,0,1187,1208,0,61,206000
3,2,1,944,1,0,0,944,0,0,82000
5,1,1,691,1,0,691,691,0,20,86000
8,3,1,1574,2,0,1574,1574,1,104,232000
5,2,2,1680,2,0,1680,1680,0,0,136905
7,2,1,1504,2,0,1346,1504,1,0,181000
5,1,1,985,2,0,985,985,0,0,149900
6,2,1,1657,2,0,1657,1657,1,0,163500
4,1,1,1092,1,546,546,546,0,0,88000
7,2,1,1710,2,0,1710,1710,1,48,240000
5,0,1,1522,2,0,1008,1008,0,0,102000
5,1,1,1271,2,551,720,720,1,0,135000
5,0,2,1664,2,0,0,1664,0,0,100000
6,1,1,1502,1,602,602,900,2,0,165000
5,1,1,1022,1,0,1022,1022,0,30,85000
6,1,1,1082,1,0,1082,1082,1,130,119200
8,2,1,1665,2,855,810,810,0,45,227000
7,2,1,1504,2,0,1504,1504,1,66,203000
8,2,1,1360,1,0,1220,1360,1,0,187500
7,2,1,1472,2,670,384,802,1,0,160000
7,2,1,1506,2,0,1362,1506,1,20,213490
4,2,1,1132,1,0,1132,1132,0,64,176000
7,2,1,1220,2,0,1199,1220,0,54,194000
5,1,1,1248,1,336,912,912,0,0,87000
7,2,1,1504,2,0,1346,1504,1,20,191000
8,2,1,2898,2,0,1565,2898,1,72,287000
5,2,1,882,1,0,882,882,0,0,112500
5,2,1,1264,1,0,1268,1264,2,0,167500
8,3,1,1646,2,0,1638,1646,1,44,293077
5,1,1,1376,1,408,768,968,1,0,105000
6,1,1,1218,1,546,672,672,0,28,118000
5,0,2,1928,2,980,686,948,0,0,160000
7,2,1,3082,2,998,824,1687,2,63,197000
8,3,1,2520,2,1168,1338,1352,1,55,310000
7,3,1,1654,2,0,1654,1654,0,136,230000
5,1,1,954,1,0,920,954,1,0,119750
4,1,1,845,1,0,0,845,0,0,84000
9,3,1,1620,2,0,1620,1620,1,0,315500
8,2,1,2263,2,1208,1055,1055,1,45,287000
4,0,1,1344,1,546,546,798,1,0,97000
4,1,1,630,1,0,630,630,0,0,80000
5,2,1,1803,2,0,1134,1803,1,0,155000
6,2,1,1632,1,832,800,800,0,40,173000
6,2,1,1306,2,0,1306,1306,1,63,196000
7,2,1,2329,2,797,1475,1532,1,121,262280
8,2,1,2524,2,0,2524,2524,1,120,278000
3,2,1,1733,2,0,0,1733,1,0,139600
9,3,1,2868,3,876,1992,1992,1,108,556581
5,2,1,990,1,0,990,990,0,0,145000
5,2,1,1771,1,0,0,1771,1,0,115000
4,1,1,930,1,0,0,930,0,0,84900
7,2,1,1302,2,0,1302,1302,0,22,176485
7,2,1,1316,2,0,1316,1316,1,20,200141
6,2,1,1977,1,850,816,1127,1,52,165000
5,1,1,1526,1,0,1216,1526,1,78,144500
8,2,1,1989,2,898,1065,1091,1,60,255000
6,2,1,1523,2,0,1193,1523,1,0,180000
7,2,1,1364,2,0,1364,1364,1,36,185850
7,2,1,1850,2,871,973,979,1,98,248000
9,3,1,2184,2,1054,1104,1130,1,102,335000
6,2,1,1991,1,895,854,1096,1,0,220000
8,2,1,1338,2,0,1338,1338,0,0,213500
3,3,1,894,1,0,894,894,0,20,81000
5,2,2,2337,2,915,662,1422,0,57,90000
6,2,1,1103,1,0,1103,1103,1,120,110500
5,2,1,1154,1,0,1154,1154,1,58,154000
7,2,1,2260,2,954,1306,1306,0,44,328000
6,2,1,1571,2,772,799,799,1,40,178000
6,2,1,1611,1,813,780,798,0,128,167900
6,2,1,2521,2,1230,942,1291,1,20,151400
5,2,1,893,1,0,845,893,0,0,135000
5,1,1,1048,1,0,1048,1048,0,20,135000
6,2,1,1556,1,727,727,829,0,0,154000
5,1,1,1456,1,454,810,1002,1,0,91500
6,2,1,1426,1,728,690,698,0,0,159500
7,3,1,1240,2,0,1240,1240,0,93,194000
7,1,1,1740,1,780,800,960,2,0,219500
5,2,1,1466,2,370,796,1096,1,21,170000
5,1,1,1096,1,0,1096,1096,0,32,138800
6,2,1,848,1,0,848,848,1,0,155900
5,1,1,990,1,0,990,990,0,64,126000
6,2,1,1258,2,0,1258,1258,0,0,145000
5,1,1,1040,1,0,1040,1040,0,0,133000
7,2,1,1459,2,0,1459,1459,1,39,192000
6,1,1,1251,1,0,1251,1251,2,116,160000
6,2,1,1498,2,807,691,691,1,44,187500
6,2,1,996,1,0,936,996,0,0,147000
4,1,1,1092,1,546,546,546,0,96,83500
8,3,1,1953,2,871,1082,1082,1,50,252000
7,2,1,1709,2,739,970,970,0,40,137500
8,2,1,1247,1,0,1247,1247,1,84,197000
3,2,2,1040,2,0,0,1040,0,0,92900
7,2,1,1252,2,628,600,624,0,48,160000
6,2,1,1694,2,304,1181,1390,1,0,136500
5,2,1,1200,1,0,864,1200,0,64,146000
5,1,1,936,1,0,936,936,0,0,129000
6,2,1,1314,2,0,1314,1314,1,22,176432
6,0,1,1355,1,582,684,773,0,0,127000
8,2,1,1088,1,0,1074,1088,0,74,170000
4,1,1,1324,1,567,672,757,0,0,128000
7,2,1,1601,2,0,1271,1601,1,0,157000
2,1,1,438,1,0,290,438,0,0,60000
5,1,1,950,1,0,950,950,0,0,119500
5,1,1,1134,1,0,1010,1134,0,16,135000
6,2,1,1194,1,0,655,1194,1,0,159500
5,2,1,1302,2,672,630,630,0,0,106000
8,2,1,2622,2,1122,1463,1500,2,32,325000
7,2,1,1442,2,0,910,1442,1,244,179900
